impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch-then-drain,batch-then-drain_N_1024_S_23.trace,1024,23,7.01762,2048,1024,0,0,1024
binary_heap,batch-then-drain,batch-then-drain_N_1024_S_23.trace,1024,23,0.3615,2048,1024,0,0,1024
binomial_queue,batch-then-drain,batch-then-drain_N_1024_S_23.trace,1024,23,2.24029,2048,1024,0,0,1024
linear_base,batch-then-drain,batch-then-drain_N_1024_S_23.trace,1024,23,0.057416,2048,1024,0,0,1024
binary_heap,batch-then-drain,batch-then-drain_N_1048576_S_23.trace,1048576,23,637.557,2097152,1048576,0,0,1048576
binomial_queue,batch-then-drain,batch-then-drain_N_1048576_S_23.trace,1048576,23,4779.04,2097152,1048576,0,0,1048576
linear_base,batch-then-drain,batch-then-drain_N_1048576_S_23.trace,1048576,23,53.154,2097152,1048576,0,0,1048576
binary_heap,batch-then-drain,batch-then-drain_N_131072_S_23.trace,131072,23,68.685,262144,131072,0,0,131072
binomial_queue,batch-then-drain,batch-then-drain_N_131072_S_23.trace,131072,23,457.173,262144,131072,0,0,131072
linear_base,batch-then-drain,batch-then-drain_N_131072_S_23.trace,131072,23,6.59925,262144,131072,0,0,131072
quadratic_oracle,batch-then-drain,batch-then-drain_N_13_S_23.trace,13,23,0.002541,26,13,0,0,13
binary_heap,batch-then-drain,batch-then-drain_N_13_S_23.trace,13,23,0.002,26,13,0,0,13
binomial_queue,batch-then-drain,batch-then-drain_N_13_S_23.trace,13,23,0.033958,26,13,0,0,13
linear_base,batch-then-drain,batch-then-drain_N_13_S_23.trace,13,23,0.001084,26,13,0,0,13
quadratic_oracle,batch-then-drain,batch-then-drain_N_16384_S_23.trace,16384,23,1629.32,32768,16384,0,0,16384
binary_heap,batch-then-drain,batch-then-drain_N_16384_S_23.trace,16384,23,7.10029,32768,16384,0,0,16384
binomial_queue,batch-then-drain,batch-then-drain_N_16384_S_23.trace,16384,23,51.2046,32768,16384,0,0,16384
linear_base,batch-then-drain,batch-then-drain_N_16384_S_23.trace,16384,23,0.825583,32768,16384,0,0,16384
quadratic_oracle,batch-then-drain,batch-then-drain_N_2048_S_23.trace,2048,23,26.2643,4096,2048,0,0,2048
binary_heap,batch-then-drain,batch-then-drain_N_2048_S_23.trace,2048,23,0.765791,4096,2048,0,0,2048
binomial_queue,batch-then-drain,batch-then-drain_N_2048_S_23.trace,2048,23,4.97187,4096,2048,0,0,2048
linear_base,batch-then-drain,batch-then-drain_N_2048_S_23.trace,2048,23,0.10875,4096,2048,0,0,2048
binary_heap,batch-then-drain,batch-then-drain_N_262144_S_23.trace,262144,23,144.263,524288,262144,0,0,262144
binomial_queue,batch-then-drain,batch-then-drain_N_262144_S_23.trace,262144,23,995.444,524288,262144,0,0,262144
linear_base,batch-then-drain,batch-then-drain_N_262144_S_23.trace,262144,23,13.2297,524288,262144,0,0,262144
quadratic_oracle,batch-then-drain,batch-then-drain_N_32768_S_23.trace,32768,23,6429.35,65536,32768,0,0,32768
binary_heap,batch-then-drain,batch-then-drain_N_32768_S_23.trace,32768,23,15.145,65536,32768,0,0,32768
binomial_queue,batch-then-drain,batch-then-drain_N_32768_S_23.trace,32768,23,103.314,65536,32768,0,0,32768
linear_base,batch-then-drain,batch-then-drain_N_32768_S_23.trace,32768,23,1.65675,65536,32768,0,0,32768
quadratic_oracle,batch-then-drain,batch-then-drain_N_4096_S_23.trace,4096,23,103.378,8192,4096,0,0,4096
binary_heap,batch-then-drain,batch-then-drain_N_4096_S_23.trace,4096,23,1.58142,8192,4096,0,0,4096
binomial_queue,batch-then-drain,batch-then-drain_N_4096_S_23.trace,4096,23,9.90454,8192,4096,0,0,4096
linear_base,batch-then-drain,batch-then-drain_N_4096_S_23.trace,4096,23,0.211666,8192,4096,0,0,4096
binary_heap,batch-then-drain,batch-then-drain_N_524288_S_23.trace,524288,23,304.02,1048576,524288,0,0,524288
binomial_queue,batch-then-drain,batch-then-drain_N_524288_S_23.trace,524288,23,2286.18,1048576,524288,0,0,524288
linear_base,batch-then-drain,batch-then-drain_N_524288_S_23.trace,524288,23,26.4936,1048576,524288,0,0,524288
binary_heap,batch-then-drain,batch-then-drain_N_65536_S_23.trace,65536,23,32.4368,131072,65536,0,0,65536
binomial_queue,batch-then-drain,batch-then-drain_N_65536_S_23.trace,65536,23,229.934,131072,65536,0,0,65536
linear_base,batch-then-drain,batch-then-drain_N_65536_S_23.trace,65536,23,3.46754,131072,65536,0,0,65536
quadratic_oracle,batch-then-drain,batch-then-drain_N_8192_S_23.trace,8192,23,406.801,16384,8192,0,0,8192
binary_heap,batch-then-drain,batch-then-drain_N_8192_S_23.trace,8192,23,3.34117,16384,8192,0,0,8192
binomial_queue,batch-then-drain,batch-then-drain_N_8192_S_23.trace,8192,23,23.5023,16384,8192,0,0,8192
linear_base,batch-then-drain,batch-then-drain_N_8192_S_23.trace,8192,23,0.4245,16384,8192,0,0,8192
