impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,20.8312,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,1.27354,4093,2047,0,0,2046
binomial_queue,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,6.84,4093,2047,0,0,2046
linear_base,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,0.202,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,2500.17,4194301,2097151,0,0,2097150
binomial_queue,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,13486.5,4194301,2097151,0,0,2097150
linear_base,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,210.764,4194301,2097151,0,0,2097150
binary_heap,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,265.205,524285,262143,0,0,262142
binomial_queue,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,1542.36,524285,262143,0,0,262142
linear_base,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,33.7091,524285,262143,0,0,262142
quadratic_oracle,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.011625,49,25,0,0,24
binary_heap,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.009417,49,25,0,0,24
binomial_queue,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.063209,49,25,0,0,24
linear_base,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.004125,49,25,0,0,24
quadratic_oracle,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,5154.68,65533,32767,0,0,32766
binary_heap,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,27.5411,65533,32767,0,0,32766
binomial_queue,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,141.762,65533,32767,0,0,32766
linear_base,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,3.30471,65533,32767,0,0,32766
quadratic_oracle,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,81.995,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,2.77567,8189,4095,0,0,4094
binomial_queue,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,14.8262,8189,4095,0,0,4094
linear_base,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,0.413792,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,568.124,1048573,524287,0,0,524286
binomial_queue,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,2871.84,1048573,524287,0,0,524286
linear_base,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,53.4297,1048573,524287,0,0,524286
quadratic_oracle,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,20230.3,131069,65535,0,0,65534
binary_heap,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,58.8428,131069,65535,0,0,65534
binomial_queue,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,294.119,131069,65535,0,0,65534
linear_base,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,6.63054,131069,65535,0,0,65534
quadratic_oracle,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,321.581,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,5.91004,16381,8191,0,0,8190
binomial_queue,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,31.0965,16381,8191,0,0,8190
linear_base,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,0.818625,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,1179.61,2097149,1048575,0,0,1048574
binomial_queue,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,6460.2,2097149,1048575,0,0,1048574
linear_base,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,105.822,2097149,1048575,0,0,1048574
binary_heap,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,125.484,262141,131071,0,0,131070
binomial_queue,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,615.313,262141,131071,0,0,131070
linear_base,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,13.1679,262141,131071,0,0,131070
quadratic_oracle,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,1272.96,32765,16383,0,0,16382
binary_heap,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,12.8991,32765,16383,0,0,16382
binomial_queue,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,67.1869,32765,16383,0,0,16382
linear_base,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,1.72467,32765,16383,0,0,16382
